timestamp,cpu_cores_busy,rss_mb,network_recv_mb_s,network_send_mb_s,disk_read_mb_s,disk_write_mb_s,num_fds,active_read_tasks,active_rechunk_tasks,active_compute_tasks,active_store_tasks,active_other_tasks,sources_started,sources_finished
1788468943.5322764,2.857816933285305,4257.22265625,10.957117413474853,0.22040029465101674,0.0,0.10929151296435885,96.0,0,1,0,0,15,405,404
1788468944.5315065,2.5119338212747344,4873.22265625,8.23540404311543,0.23543076656943623,0.0,0.02736481690258466,96.0,0,1,1,0,14,406,406
1788468945.532104,2.548477343506321,5413.22265625,14.470911001451102,0.23724495509684737,0.0,0.0,98.0,1,1,1,0,13,407,406
1788468946.5315073,2.4014330832976998,6081.34765625,4.875375524744615,0.16377590443821163,0.0,0.0,98.0,2,1,1,0,12,407,407
1788468947.531511,2.3799909210552506,6696.59765625,5.226170630757787,0.10743958496252075,0.0,0.0039062350988956496,98.0,1,0,2,0,13,408,407
1788468948.5315118,3.7499973177929036,6710.09375,7.758123570830652,0.16503131506587382,0.0,0.0,99.0,0,0,5,2,9,408,408
1788468949.5321324,2.9681579506048528,6530.58203125,8.447631553427321,0.1345219229303866,0.0,0.0,99.0,3,0,1,1,11,409,408
1788468950.531517,3.2820196181858483,6886.58203125,7.7728704878638215,0.19691950064448438,0.0,0.0,98.0,1,0,3,0,12,410,409
1788468951.5321026,3.3180570916613497,7280.45703125,10.362275660271257,0.1988686510546231,0.0,0.0,97.0,0,1,1,0,14,410,410
1788468952.5317125,2.9711589088378,7962.45703125,8.381759776829456,0.19890532710913433,0.0,0.0,96.0,1,0,1,0,14,411,411
1788468953.5323632,2.798179380528782,9272.46484375,9.75404291555487,0.16227368238467507,0.0,0.0039037100732827214,98.0,0,0,1,0,15,412,411
1788468954.532043,3.100992926001822,9330.45703125,7.985738002332957,0.19485323140377409,0.0,0.027352508167855602,97.0,0,0,2,0,14,413,412
1788468955.5316322,1.7107027484979187,3858.4453125,6.594385654087541,0.11785580290517941,0.0,0.0,98.0,0,1,1,1,13,413,412
1788468956.532192,2.398657215322708,3818.4453125,15.84396800115902,0.23811552637674033,0.0,0.0,95.0,1,0,1,0,14,414,413
1788468957.5317972,2.090825502164887,3798.44140625,10.671159610823517,0.20824834329044556,0.0,6.232929642555254,98.0,2,0,1,0,13,415,414
1788468958.5315115,2.2606456979620853,3748.4375,9.748488113584536,0.2112715490617218,0.0,0.015629464172858973,98.0,1,0,1,0,14,415,415
1788468959.5315182,2.769981508378886,3748.4375,12.774819923649344,0.249899149614289,0.0,0.011718671769425978,98.0,0,0,2,0,14,416,416
1788468960.5321016,1.9988338598120308,3748.4375,6.037395118271253,0.18018700656769962,0.0,0.0,98.0,0,1,1,0,14,417,416
1788468961.5316777,2.4910559791398037,3748.4375,9.967307537269894,0.22341566874003882,0.0,0.0,98.0,0,1,0,0,15,418,417
1788468962.532235,2.4086579338097533,3748.4375,9.791707224897245,0.2164264229415859,0.0,0.0,97.0,0,0,1,0,15,419,418
1788468963.5318446,2.1608433581773583,3748.4375,8.205481618263507,0.17495117069874616,0.0,0.003907775170315219,96.0,2,0,1,0,13,419,419
1788468964.5315065,2.8109503191834384,3760.4453125,8.785895919898609,0.23258252191926992,0.0,0.0,97.0,0,0,1,0,15,420,420
1788468965.5315406,2.199924996072006,3780.44921875,11.203165518601141,0.2209883686693383,0.0,0.0,97.0,1,0,1,0,14,421,421
1788468966.5321233,2.5085382872645474,3820.44921875,14.433269760300117,0.26995568950053705,0.0,0.0,98.0,0,0,1,0,15,422,421
1788468967.5317214,1.9607881853295848,3820.44921875,7.5895757734188996,0.1663352110781378,0.0,0.0,97.0,0,1,1,0,14,423,422
1788468968.5315137,2.390496416658968,3820.44921875,12.55431719071224,0.24093099853985983,0.0,0.0,98.0,1,0,2,0,13,423,423
1788468969.5315094,2.560010986375219,3818.4453125,11.021576497167814,0.2358847250759724,0.0,0.0039062667638782855,97.0,0,0,1,0,15,424,424
1788468970.5321116,2.5484651987335116,3818.4453125,11.086642060793503,0.23432829063841043,0.0,0.0,98.0,2,0,1,0,13,425,424
1788468971.5318844,2.1804954367042764,3838.44921875,9.998932118966431,0.19270983993469662,0.0,0.0,98.0,0,0,2,0,14,426,425
1788468972.5315092,2.270852184614779,3818.4453125,8.486768287011088,0.19378018617941056,0.0,0.0,97.0,0,0,0,0,16,427,426
1788468973.5321074,1.7889298760749759,3818.4453125,9.157296262664074,0.19597632775155815,0.0,0.09369395300672201,96.0,2,0,0,0,14,427,427
1788468974.5317283,2.1608191352907204,3818.4453125,9.277524772736705,0.1998466864183915,0.0,0.035169582280117365,98.0,0,0,3,0,13,428,427
1788468975.5315073,2.3605217083984167,3818.4453125,8.787877646107184,0.19346316822932924,0.0,0.0,97.0,1,0,0,0,15,429,428
1788468976.5320606,2.1288219748012884,3818.4453125,13.648649569594614,0.22965216096267835,0.0,0.0,98.0,0,0,0,0,16,430,429
1788468977.5316534,2.9712099329391783,3838.44921875,8.933851961887099,0.2212700675190264,0.0,0.0,97.0,0,2,0,0,14,430,430
1788468978.531507,2.300336744012756,3838.44921875,11.738110351504284,0.23474410364142317,0.0,0.0,98.0,1,0,0,0,15,431,431
1788468979.5320861,2.538529889797575,3898.453125,11.097316889113507,0.22057538566308602,0.0,2.9357998233387734,97.0,0,0,2,0,14,432,431
1788468980.531766,2.3707591079429413,3878.44921875,10.631695358005953,0.2635025701407669,0.0,0.003907501166836515,97.0,1,0,1,0,14,433,432
1788468981.5323484,2.3186494873292784,3878.44921875,11.12260138626417,0.21539825965205908,0.0,0.0,98.0,1,0,1,0,14,434,433
1788468982.5315092,2.602183839586965,3938.453125,11.334383256211726,0.23192987278752616,0.0,0.0,98.0,1,2,0,0,13,435,434
1788468983.5320892,2.3686260254100864,3878.44921875,11.703679310855076,0.22139104737799867,0.0,0.0,97.0,0,1,1,0,14,435,435
1788468984.531912,2.090370298655177,3878.44921875,6.629095415566866,0.18962786042697363,0.0,0.027348594666919118,95.0,0,0,1,0,15,436,436
1788468985.5315104,2.3409404384230026,3878.44921875,12.289492558231501,0.22373223037914963,0.0,0.00390781990922619,96.0,1,0,0,0,15,437,436
1788468986.532101,2.598465442919137,3878.44921875,10.298028894049988,0.2344901961765458,0.0,0.0,96.0,0,0,2,0,14,438,437
1788468987.5310683,1.6416951994677451,3878.44921875,4.695067008785021,0.0987653142394951,0.0,0.0,95.0,0,2,1,0,13,438,438
1788468988.5317023,1.0293474400419635,3878.44921875,0.004667184342582958,0.004667184342582958,0.0,6.652032910464066,95.0,0,2,1,0,13,438,438
1788468989.5322628,2.10881796097097,3878.44921875,7.6763393702841904,0.17205989055569257,0.0,0.6558823634537506,95.0,2,0,1,0,13,439,438
1788468990.5318947,2.2708359362329165,3886.44921875,10.712878390368159,0.23366088209198713,0.0,0.01563075396636106,95.0,0,0,1,0,15,440,439
1788468991.5316908,2.0804240900508613,3886.44921875,7.871077959932266,0.2209026507774388,0.0,0.003907046443154549,98.0,2,0,1,0,13,440,440
1788468992.532272,2.328646440501132,3887.44921875,10.701461276390114,0.19147424359181478,0.0,0.0,98.0,1,0,1,0,14,441,441
1788468993.5315018,2.381834799823448,3944.08203125,10.101964819033217,0.230286611567014,0.0,0.0,98.0,2,0,0,0,14,442,441
1788468994.531506,2.1699906874103383,3944.08203125,8.154567055176022,0.20996575847061813,0.0,0.0,97.0,0,1,0,0,15,443,442
1788468995.5315154,2.0199812175589655,3944.08203125,9.829610978405915,0.16777550143133263,0.0,0.0,97.0,0,0,1,0,15,443,443
1788468996.5321367,2.4884538767805564,3944.08203125,10.98451956320245,0.22899609474589638,0.0,0.0039038244803915262,97.0,0,0,0,0,16,444,444
1788468997.531502,2.2914543179021125,3944.08203125,10.133151638427137,0.21925154867710553,0.0,0.0,97.0,3,0,0,0,13,445,445
1788468998.53208,2.358636880922144,3944.08203125,13.270074210194228,0.21090049200234087,0.0,0.0,98.0,0,0,1,0,15,446,445
1788468999.5317323,2.4208415191018955,3944.08203125,8.775200424723446,0.17200059339169624,0.0,0.0,98.0,1,1,0,0,14,447,446
1788469000.531508,1.570352311498119,3944.08203125,4.454546863698659,0.15535311395650697,0.0,0.0,97.0,0,0,1,0,15,447,447
1788469001.5315,2.3100181747912263,3944.08203125,12.659913486753718,0.22343620619649995,0.0,0.0,98.0,1,0,1,0,14,448,447
1788469002.5322485,2.068451978978794,3944.08203125,9.749183014516218,0.1840225108476756,0.0,0.0039033287646788773,98.0,1,0,1,0,14,449,448
1788469003.5320272,2.420535549399888,3944.08203125,9.539164625351983,0.1838728508962707,0.0,0.17191303617896417,97.0,0,1,0,0,15,449,449
1788469004.5315127,2.221142794168206,3944.08203125,9.599701918778592,0.21841796540483085,0.0,0.0,96.0,0,0,2,0,14,450,450
1788469005.5321255,1.96879364974959,3962.0859375,8.522347823642072,0.1780963641033779,0.0,0.023423147800005432,97.0,1,0,1,0,14,451,450
1788469006.5315104,2.5715818312466867,4002.0078125,11.382122487072145,0.2335878984398782,0.0,0.0,97.0,2,0,0,0,14,452,451
1788469007.5320942,1.7689671229161983,4022.01171875,6.333682253875794,0.1029519726321754,0.0,0.003903970521972582,96.0,1,0,2,0,13,452,452
